Invoice No.,Date,Customer,Branch / Warehouse,Salesman,Salesman Code,Salesman Name,Payment Mode,Gross Amount,Discount,Discount %,Tax,Round Off,Net Amount,Cost,Profit,Margin %,Quantity,Item Count,Status
AE-013568,30/04/2026,JEEVAN JYOTI MEDICALS         SAKCHI,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,608.26,18.25,3,29.5,0.49,620,551.71,68.29,11.01,4,3,POSTED
AE-013564,30/04/2026,NIRMAL DRUG HOUSE             BARIDIH,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,3506.02,175.3,5,166.58,-0.3,3497,3188.99,308.01,8.81,24,15,POSTED
AE-013563,30/04/2026,NEW LIFE MEDICAL STORE        MOSABANI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,8571.42,428.57,5,407.14,0.01,8550,7714.29,835.71,9.77,3,1,POSTED
AE-013562,30/04/2026,MAHALAXMI MEDICAL STORES      TRAFFIC COLONY,AGARWAL ENTERPRISES-FINAL,15225 - MAHAVIR BAGBERA,15225,MAHAVIR BAGBERA,CREDIT,1106.23,66.36,6,52,0.13,1092,1064.57,27.43,2.51,15,3,POSTED
AE-013561,30/04/2026,DISCOUNT MEDICINE MART        MANGO,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,1645,98.7,6,77.32,0.38,1624,1645,-21,-1.29,10,1,POSTED
AE-013560,30/04/2026,NATIONAL MEDICALS             MANGO,AGARWAL ENTERPRISES-FINAL,197 - B.M.V.STORES TELCO,197,B.M.V.STORES TELCO,CREDIT,6429.66,321.49,5,305.4,0.43,6414,5786.74,627.26,9.78,30,7,POSTED
AE-013559,30/04/2026,CITY MEDICAL                  CHAKRADHARPUR,AGARWAL ENTERPRISES-FINAL,SE - TRANSPORT,SE,TRANSPORT,CREDIT,4708.97,282.55,6,221.3,0.28,4648,4245.26,402.74,8.66,60,12,POSTED
AE-013558,30/04/2026,ASHIRWAD MEDICAL              BAGBERA,AGARWAL ENTERPRISES-FINAL,15225 - MAHAVIR BAGBERA,15225,MAHAVIR BAGBERA,CREDIT,1148.12,34.45,3,55.68,-0.35,1169,1054.38,114.62,9.8,12,6,POSTED
AE-013555,30/04/2026,SIKHAR YASH MEDICAL           JUGSALAI,AGARWAL ENTERPRISES-FINAL,15225 - MAHAVIR BAGBERA,15225,MAHAVIR BAGBERA,CREDIT,6123.69,244.98,4,293.92,0.37,6173,5638.51,534.49,8.66,45,14,POSTED
AE-013553,30/04/2026,NIRMAL DRUG HOUSE             BARIDIH,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,4563.94,228.19,5,216.8,0.45,4553,4107.54,445.46,9.78,24,13,POSTED
AE-013557,30/04/2026,CITY MEDICAL                  CHAKRADHARPUR,AGARWAL ENTERPRISES-FINAL,SE - TRANSPORT,SE,TRANSPORT,CREDIT,9072.38,544.34,6,426.44,-0.48,8954,8241.99,712.01,7.95,55,15,POSTED
AE-013552,30/04/2026,SIKHAR YASH MEDICAL           JUGSALAI,AGARWAL ENTERPRISES-FINAL,15225 - MAHAVIR BAGBERA,15225,MAHAVIR BAGBERA,CREDIT,7375.13,295,4,354,-0.13,7434,6641.06,792.94,10.67,43,15,POSTED
AE-013556,30/04/2026,AMRITA ENTERPRISES            ADITYAPUR,AGARWAL ENTERPRISES-FINAL,197 - B.M.V.STORES TELCO,197,B.M.V.STORES TELCO,CREDIT,2183.39,109.15,5,103.72,0.04,2178,2087.44,90.56,4.16,30,6,POSTED
AE-013554,30/04/2026,NEW ROHINI MEDICAL HALL       BAGBERA,AGARWAL ENTERPRISES-FINAL,15225 - MAHAVIR BAGBERA,15225,MAHAVIR BAGBERA,CREDIT,3737.77,149.7,4.01,179.4,-0.47,3767,3608.78,158.22,4.2,68,17,POSTED
CN00327,30/04/2026,MANISH MEDICALS               BISTUPUR,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,7584.83,348.84,4.6,448.66,0.35,7685,6970.32,714.68,9.3,48,14,RETURN
AE-013550,30/04/2026,NATIONAL MEDICALS             MANGO,AGARWAL ENTERPRISES-FINAL,53782 - MANIK SAKCHI,53782,MANIK SAKCHI,CREDIT,520.47,26.02,5,24.74,-0.19,519,477.92,41.08,7.92,4,4,POSTED
AE-013551,30/04/2026,SIKHAR YASH MEDICAL           JUGSALAI,AGARWAL ENTERPRISES-FINAL,15225 - MAHAVIR BAGBERA,15225,MAHAVIR BAGBERA,CREDIT,6538.51,261.58,4,313.84,0.23,6591,6551.86,39.14,0.59,35,15,POSTED
AE-013548,30/04/2026,SANJEEV MEDICAL               SONARI,AGARWAL ENTERPRISES-FINAL,1105 - SUBHASH,1105,SUBHASH,CREDIT,1167.03,58.36,5,55.44,-0.11,1164,1003.83,160.17,13.76,8,5,POSTED
CN00326,30/04/2026,MEDICURE                      MANGO,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,435.33,13.06,3,21.12,-0.39,443,400.5,42.5,9.59,3,1,RETURN
AE-013549,30/04/2026,AL-SHIFA MEDICALS             JUGSALAI,AGARWAL ENTERPRISES-FINAL,15225 - MAHAVIR BAGBERA,15225,MAHAVIR BAGBERA,CREDIT,1529.86,61.2,4,73.44,-0.1,1542,1376.88,165.12,10.71,8,3,POSTED
AE-013546,30/04/2026,ASHUTOSH MEDICAL              PERSUDIH,AGARWAL ENTERPRISES-FINAL,15225 - MAHAVIR BAGBERA,15225,MAHAVIR BAGBERA,CREDIT,4159.97,249.61,6,195.52,0.12,4106,3743.99,362.01,8.82,21,7,POSTED
AE-013542,30/04/2026,DISCOUNT MEDICAL STORE        MANGO,AGARWAL ENTERPRISES-FINAL,53782 - MANIK SAKCHI,53782,MANIK SAKCHI,CREDIT,488.01,29.28,6,22.94,0.33,482,439.2,42.8,8.88,3,1,POSTED
AE-013545,30/04/2026,NEW KAUNTIA MEDICAL           BISTUPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,2657.77,132.85,5,126.24,-0.16,2651,2767.39,-116.39,-4.39,19,4,POSTED
AE-013547,30/04/2026,NATIONAL MEDICALS             MANGO,AGARWAL ENTERPRISES-FINAL,53782 - MANIK SAKCHI,53782,MANIK SAKCHI,CREDIT,2216.41,110.81,5,105.24,0.16,2211,2054.59,156.41,7.07,20,15,POSTED
AE-013543,30/04/2026,NARAYANA HRUDAYALAYA PVT LTD  TAMOLIA,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,11596.9,0,0,579.84,0.26,12177,11561.6,615.4,5.05,60,3,POSTED
AE-013544,30/04/2026,MEDIMITRA                     BISTUPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,4303.72,215.17,5,204.4,0.05,4293,3877.54,415.46,9.68,20,11,POSTED
AE-013541,30/04/2026,NEW SAINI MEDICAL             ADITYAPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,4126.29,206.31,5,196,0.02,4116,3815.87,300.13,7.29,31,13,POSTED
AE-013540,30/04/2026,TILAK MEDICAL                 DIMNA,AGARWAL ENTERPRISES-FINAL,197 - B.M.V.STORES TELCO,197,B.M.V.STORES TELCO,CREDIT,1499.1,44.95,3,72.72,0.13,1527,1499.1,27.9,1.83,10,1,POSTED
AE-013538,30/04/2026,K.B.MEDICALS                  ADITYAPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,1105.63,55.32,5,52.52,0.17,1103,2239.25,-1136.25,-103.01,12,3,POSTED
AE-013539,30/04/2026,NIRMAL DRUG HOUSE             BARIDIH,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,8405.88,420.29,5,399.26,0.15,8385,7743.35,641.65,7.65,61,16,POSTED
AE-013537,30/04/2026,KAMAL AGENCIES                LOHARDAGA,AGARWAL ENTERPRISES-FINAL,98 - MED.REP,98,MED.REP,CREDIT,52481,2625.29,5,2492.8,0.49,52349,61399,-9050,-17.29,1300,1,POSTED
AE-013536,30/04/2026,MEDICINE POINT(JUGSALAI)      JUGSALAI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,702.97,28.12,4,33.74,0.41,709,632.67,76.33,10.77,1,1,POSTED
CN00325,30/04/2026,BIHAR MEDICAL STORE           GHATSILA,AGARWAL ENTERPRISES-FINAL,OXC - SUJAL,OXC,SUJAL,CREDIT,5423.7,271.19,5,257.62,-0.13,5410,4881.35,528.65,9.77,40,6,RETURN
CN00324,30/04/2026,BIHAR MEDICAL STORE           GHATSILA,AGARWAL ENTERPRISES-FINAL,OXC - SUJAL,OXC,SUJAL,CREDIT,12701.02,635.06,5,866.6,0.44,12933,11579.97,1353.03,10.46,68,15,RETURN
AE-013534,30/04/2026,MANOJ MEDICAL HALL            BHUIYADIH,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,1634.27,81.71,5,77.62,-0.18,1630,1487.33,142.67,8.75,4,2,POSTED
AE-013535,30/04/2026,JYOTI MEDICALS                MANGO,AGARWAL ENTERPRISES-FINAL,197 - B.M.V.STORES TELCO,197,B.M.V.STORES TELCO,CREDIT,1911.53,76.47,4,91.76,0.18,1927,1854.23,72.77,3.78,16,4,POSTED
AE-013533,30/04/2026,TATA 1MG HEALTHCARE SOLUTIONS BISTUPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,457.14,32,7,21.26,-0.4,446,411.42,34.58,7.75,3,1,POSTED
AE-013531,30/04/2026,BALAJI DRUGS                  SAKCHI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,590.7,35.44,6,27.76,-0.02,583,536.15,46.85,8.04,3,2,POSTED
CN00323,30/04/2026,CASH SALE,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,343.56,17.18,5,16.32,0.3,343,309.19,33.81,9.86,4,2,RETURN
AE-013532,30/04/2026,TATA 1MG HEALTHCARE SOLUTIONS BISTUPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,12815.43,897.1,7,595.94,-0.27,12514,11533.94,980.06,7.83,76,12,POSTED
AE-013529,30/04/2026,SHREE SHYAM MEDICAL           ADITYAPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,9038.65,279.43,3.09,437.96,-0.18,9197,7916.84,1280.16,13.92,32,10,POSTED
AE-013530,30/04/2026,TATA 1MG HEALTHCARE SOLUTIONS BISTUPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,24116.93,1688.19,7,1121.44,-0.18,23550,22267.55,1282.45,5.45,146,15,POSTED
AE-013527,30/04/2026,RAVI MEDICAL                  BHALUBASA,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,657.82,26.31,4,31.58,-0.09,663,592.02,70.98,10.71,8,3,POSTED
AE-013528,30/04/2026,SHREE SHYAM MEDICAL           ADITYAPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,6282.13,376.94,6,295.24,-0.43,6200,5977.18,222.82,3.59,59,15,POSTED
AE-013525,30/04/2026,SHREE KRISHNA MEDICAL         TAMOLIA,AGARWAL ENTERPRISES-FINAL,197 - B.M.V.STORES TELCO,197,B.M.V.STORES TELCO,CREDIT,2675.29,133.76,5,127.08,0.39,2669,2407.74,261.26,9.79,11,7,POSTED
AE-013526,30/04/2026,DEV SAI MEDICAL               ADITYAPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,5556.11,182.24,3.28,250.26,-0.13,5624,4953.56,670.44,11.92,26,14,POSTED
CN00322,30/04/2026,BHOLA MEDICALS                SAKCHI JSR,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,2799.87,139.99,5,133,0.12,2793,2519.92,273.08,9.78,21,6,RETURN
CN00321,30/04/2026,KHUSHI MEDICAL                MANGO,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,1774.01,42.41,2.39,86.58,-0.18,1818,1734.58,83.42,4.59,7,2,RETURN
CN00320,30/04/2026,SHREE KRISHNA MEDICAL         TAMOLIA,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,1095.39,54.77,5,52.04,0.34,1093,985.86,107.14,9.8,3,1,RETURN
AE-013522,30/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,561.37,39.3,7,26.1,-0.17,548,522.99,25.01,4.56,6,4,POSTED
AE-013524,30/04/2026,JEEVAN JYOTI MEDICALS         SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,690.54,20.74,3,33.48,-0.28,703,650.32,52.68,7.49,8,2,POSTED
AE-013520,30/04/2026,KEHAR MEDICAL                 MANGO,AGARWAL ENTERPRISES-FINAL,PCN - SHAMBHU MANGO,PCN,SHAMBHU MANGO,CREDIT,2290.86,114.54,5,108.82,-0.14,2285,2290.86,-5.86,-0.26,6,1,POSTED
AE-013523,30/04/2026,SAKET MEDICAL                 MANGO,AGARWAL ENTERPRISES-FINAL,197 - B.M.V.STORES TELCO,197,B.M.V.STORES TELCO,CREDIT,12536.45,376.1,3,608.04,-0.39,12768,11314.04,1453.96,11.39,94,13,POSTED
AE-013521,30/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,8296.98,580.79,7,413.58,0.23,8130,7373.45,756.55,9.31,46,16,POSTED
AE-013519,30/04/2026,MY CHEMIST (REG)              BHALUBASA,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,825.4,41.28,5,39.22,-0.34,823,742.85,80.15,9.74,8,3,POSTED
AE-013518,30/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,3181.19,222.68,7,147.98,-0.49,3106,2912.41,193.59,6.23,22,11,POSTED
AE-013517,30/04/2026,SANDIL MEDICAL                ADITYAPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,2198.97,65.97,3,106.64,0.36,2240,1979.06,260.94,11.65,11,9,POSTED
AE-013516,30/04/2026,REMEDI PHARMA                BBISTUPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,6306.19,315.3,5,299.54,-0.43,6290,5675.8,614.2,9.76,88,9,POSTED
AE-013514,30/04/2026,MEDICINE MART.                MANGO,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,1631.28,97.88,6,76.68,-0.08,1610,1495.89,114.11,7.09,13,6,POSTED
AE-013515,30/04/2026,MAA VAIBHAV LAXMI MEDICAL     MANGO,AGARWAL ENTERPRISES-FINAL,197 - B.M.V.STORES TELCO,197,B.M.V.STORES TELCO,CREDIT,3278,111.89,3.41,158.3,-0.41,3324,2961.89,362.11,10.89,22,11,POSTED
AE-013513,30/04/2026,GANESH MEDICAL                MANGO,AGARWAL ENTERPRISES-FINAL,197 - B.M.V.STORES TELCO,197,B.M.V.STORES TELCO,CREDIT,1104.93,33.14,3,53.6,-0.39,1125,994.24,130.76,11.62,8,7,POSTED
CN00319,30/04/2026,BIHAR MEDICAL STORE           GHATSILA,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,5797.2,289.87,5,275.38,0.29,5783,5256.44,526.56,9.11,28,11,RETURN
AE-013512,30/04/2026,ASHESH MEDICALS               MANGO,AGARWAL ENTERPRISES-FINAL,197 - B.M.V.STORES TELCO,197,B.M.V.STORES TELCO,CREDIT,1994.45,59.82,3,96.72,-0.35,2031,1825.65,205.35,10.11,17,6,POSTED
AE-013510,30/04/2026,PREET MEDICAL                 MANGO,AGARWAL ENTERPRISES-FINAL,197 - B.M.V.STORES TELCO,197,B.M.V.STORES TELCO,CREDIT,5259.93,262.99,5,249.82,0.24,5247,4959.89,287.11,5.47,28,6,POSTED
AE-013509,30/04/2026,NATIONAL PHARMA               DHATKIDIH,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,3714.62,148.58,4,178.3,-0.34,3744,3495.87,248.13,6.63,20,8,POSTED
AE-013508,30/04/2026,VISHAL MEDICALS               MANGO,AGARWAL ENTERPRISES-FINAL,197 - B.M.V.STORES TELCO,197,B.M.V.STORES TELCO,CREDIT,1014.79,30.45,3,49.22,0.44,1034,930.08,103.92,10.05,6,4,POSTED
AE-013506,30/04/2026,SINHA MEDICAL                 MANGO,AGARWAL ENTERPRISES-FINAL,197 - B.M.V.STORES TELCO,197,B.M.V.STORES TELCO,CREDIT,1073.92,32.24,3,52.08,0.24,1094,990.86,103.14,9.43,14,7,POSTED
AE-013511,30/04/2026,THE LIFE MEDICAL STORES.      CHAIBASA,AGARWAL ENTERPRISES-FINAL,SE - TRANSPORT,SE,TRANSPORT,CREDIT,5673.11,340.38,6,439.32,-0.05,5772,5110.27,661.73,11.46,57,13,POSTED
AE-013505,30/04/2026,GUPTA MEDICAL                 SONARI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,1176.46,70.59,6,55.3,-0.17,1161,1069.76,91.24,7.86,7,3,POSTED
AE-013504,30/04/2026,SHAURYA MEDICAL               JADUGORA,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,1284.7,51.39,4,61.68,0.01,1295,1156.22,138.78,10.72,10,5,POSTED
AE-013507,30/04/2026,NATIONAL PHARMA               DHATKIDIH,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,7669.76,281.95,3.68,369.4,-0.21,7757,7116.92,640.08,8.25,49,15,POSTED
